learner_id,concept_id,concept_name,difficulty,days_since_last_review,quiz_accuracy,response_time,attempt_count,retention_label
L004,software_engineering,Software Engineering,0.4,9.0,0.0,18.16,5,0.085
L030,software_engineering,Software Engineering,0.4,11.0,0.212,10.99,1,0.18
L032,probability_and_statistics,Probability & Statistics,0.65,11.0,0.133,12.46,3,0.056
L035,software_engineering,Software Engineering,0.4,3.0,0.701,11.68,4,0.596
L028,software_engineering,Software Engineering,0.4,8.0,0.271,15.86,3,0.26
L037,neural_networks,Neural Networks,0.6,9.0,0.126,12.34,2,0.134
L019,operating_systems,Operating Systems,0.6,7.0,0.156,18.2,2,0.124
L031,software_engineering,Software Engineering,0.4,18.0,0.127,15.27,2,0.068
L034,dbms_normalization,DBMS Normalization,0.7,17.0,0.0,18.73,4,0.0
L023,oop_concepts,OOP Concepts,0.35,0.0,0.931,20.08,1,1.0
L035,algorithm_design,Algorithm Design,0.5,12.0,0.13,17.34,4,0.113
L025,data_structures,Data Structures,0.4,21.0,0.0,13.63,2,0.0
L033,data_structures,Data Structures,0.4,20.0,0.014,17.16,2,0.056
L040,probability_and_statistics,Probability & Statistics,0.65,9.0,0.027,13.25,5,0.037
L031,neural_networks,Neural Networks,0.6,15.0,0.076,15.65,1,0.06
L020,oop_concepts,OOP Concepts,0.35,5.0,0.322,13.78,2,0.384
L014,operating_systems,Operating Systems,0.6,8.0,0.027,11.98,5,0.123
L011,software_engineering,Software Engineering,0.4,17.0,0.009,13.58,3,0.068
L006,oop_concepts,OOP Concepts,0.35,15.0,0.0,15.05,2,0.0
L001,software_engineering,Software Engineering,0.4,14.0,0.202,14.49,3,0.062
L026,operating_systems,Operating Systems,0.6,17.0,0.085,21.04,1,0.036
L028,operating_systems,Operating Systems,0.6,17.0,0.0,11.89,1,0.0
L025,probability_and_statistics,Probability & Statistics,0.65,3.0,0.42,11.84,5,0.437
L012,oop_concepts,OOP Concepts,0.35,9.0,0.236,10.14,5,0.42
L039,ml_fundamentals,ML Fundamentals,0.5,18.0,0.104,14.44,3,0.026
L022,operating_systems,Operating Systems,0.6,6.0,0.109,13.65,1,0.202
L038,software_engineering,Software Engineering,0.4,13.0,0.086,9.66,5,0.127
L022,computer_networks,Computer Networks,0.55,10.0,0.133,11.69,5,0.077
L025,algorithm_design,Algorithm Design,0.5,21.0,0.0,16.78,5,0.0
L039,computer_architecture,Computer Architecture,0.5,2.0,0.672,15.64,4,0.695
L019,ml_fundamentals,ML Fundamentals,0.5,7.0,0.299,19.43,4,0.341
L016,ml_fundamentals,ML Fundamentals,0.5,20.0,0.141,21.6,2,0.0
L030,dbms_normalization,DBMS Normalization,0.7,15.0,0.0,21.82,5,0.075
L013,computer_architecture,Computer Architecture,0.5,9.0,0.278,16.35,1,0.169
L001,neural_networks,Neural Networks,0.6,6.0,0.0,12.23,3,0.0
L035,software_engineering,Software Engineering,0.4,1.0,0.83,14.52,4,0.852
L006,oop_concepts,OOP Concepts,0.35,6.0,0.376,13.48,5,0.421
L024,algorithm_design,Algorithm Design,0.5,18.0,0.05,15.36,1,0.158
L007,probability_and_statistics,Probability & Statistics,0.65,16.0,0.0,10.05,5,0.017
L027,operating_systems,Operating Systems,0.6,5.0,0.189,7.01,4,0.149
L038,discrete_mathematics,Discrete Mathematics,0.55,6.0,0.425,11.79,3,0.344
L011,oop_concepts,OOP Concepts,0.35,5.0,0.723,9.71,2,0.721
L036,data_structures,Data Structures,0.4,7.0,0.205,21.31,1,0.272
L037,computer_architecture,Computer Architecture,0.5,3.0,0.471,14.46,2,0.569
L029,data_structures,Data Structures,0.4,18.0,0.138,16.29,1,0.065
L034,ml_fundamentals,ML Fundamentals,0.5,16.0,0.068,12.11,5,0.038
L010,dbms_normalization,DBMS Normalization,0.7,20.0,0.0,13.15,3,0.076
L005,data_structures,Data Structures,0.4,15.0,0.139,18.11,1,0.047
L013,software_engineering,Software Engineering,0.4,13.0,0.119,13.23,4,0.115
L013,algorithm_design,Algorithm Design,0.5,18.0,0.084,14.05,3,0.085
L003,operating_systems,Operating Systems,0.6,3.0,0.082,22.51,3,0.248
L030,ml_fundamentals,ML Fundamentals,0.5,4.0,0.548,13.66,4,0.473
L035,oop_concepts,OOP Concepts,0.35,10.0,0.318,21.08,3,0.324
L023,algorithm_design,Algorithm Design,0.5,1.0,0.727,18.96,2,0.86
L021,discrete_mathematics,Discrete Mathematics,0.55,20.0,0.158,18.3,4,0.049
L021,computer_architecture,Computer Architecture,0.5,21.0,0.135,12.93,5,0.046
L040,software_engineering,Software Engineering,0.4,1.0,0.758,9.53,2,0.827
L006,algorithm_design,Algorithm Design,0.5,10.0,0.18,16.22,3,0.195
L021,oop_concepts,OOP Concepts,0.35,3.0,0.348,16.46,5,0.548
L020,probability_and_statistics,Probability & Statistics,0.65,20.0,0.097,19.16,4,0.024
L033,software_engineering,Software Engineering,0.4,17.0,0.056,13.81,2,0.087
L004,computer_architecture,Computer Architecture,0.5,16.0,0.0,20.93,2,0.0
L015,software_engineering,Software Engineering,0.4,3.0,0.721,19.72,2,0.694
